torsion,resff,qm,mace,esp,openff
-165,5.970703,5.61330125,6.5826,4.5292968,-234.5765
-150,6.2822266,6.0695565,6.5799,5.4404296,-234.85115
-135,6.4833984,6.815905,6.5323,4.7841796,-236.32706
-120,3.8613281,3.34225325,3.2767,4.5791015,-237.93132
-105,1.1865234,1.17537025,1.0857,1.8242187000000003,-240.41936
-90,0.005859375,0.00119225,0.001,0.7714843,-241.15913
-75,4.875,5.3100305,5.0878,0,-235.32814
-60,1.2529297,0.229163,0.7106,2.3115234000000004,-239.60428
-45,4.8916016,4.87925175,4.4819,3.64550775,-234.4863
-30,6.663086,6.63763225,6.0654,5.6777343,-234.10355
-15,8.616211,8.160261,7.4007,7.4697265,-232.73505
0,9.987305,9.034494,8.4217,8.734375,-231.33331
15,8.631836,8.171305,7.4024,7.5527343,-232.56465
30,6.6796875,6.6420875,6.0691,5.7255859000000004,-234.10165
45,4.879883,4.87536125,4.478,3.63769525,-234.47177
60,1.2363281,0.21780525,0.7062,2.2333984000000004,-239.66302
75,4.899414,5.3153015,5.1279,0.1142578000000003,-235.40936
90,0,0,0,0.7724609,-241.10837
105,1.21875,1.18001375,1.1004,1.8808593,-240.31595
120,3.8085938,3.36961225,3.2848,4.389648380000001,-238.02455
135,6.4941406,6.821427,6.5368,4.7871093,-236.26216
150,6.28125,6.06698375,6.5816,5.446289,-234.84593
165,5.9570312,5.6157485,6.5805,4.5029296,-234.51634
180,5.873047,5.55720275,6.7251,3.8671874400000004,-234.26335
