torsion,resff,qm,mace,esp,openff
-165,8.135742,7.854041,6.2673,10.233398600000001,30.317997
-150,6.555664,6.0198585,5.3239,8.524414,27.422497
-135,3.5634766,2.84979125,2.5272,2.4277344,23.879517
-120,1.2431641,0.84894475,0.9074,0.5673825999999993,22.25219
-105,0.18066406,0,0.0789,0,21.80863
-90,0,0.0842105,0,0.6914061999999994,21.710285
-75,0.33691406,0.691003,0.4918,1.7255858999999996,21.716879
-60,1.2773438,1.65854525,1.4893,2.8974608999999996,21.803068
-45,1.7353516,3.45068525,2.1399,4.78710935,20.915764
-30,2.5410156,4.343053,2.6564,6.290039,21.651493
-15,3.1591797,4.93321675,3.247,7.3193359,22.304173
0,2.8652344,4.9970335,2.6847,7.0996094,22.862295
15,3.163086,4.93309125,3.2536,7.324218699999999,22.299347
30,2.5410156,4.344559,2.6582,6.2910156,21.649422
45,1.7363281,3.44968125,2.1383,4.7832031,20.919167
60,1.1865234,2.4747345,1.85,3.4228514999999997,20.589354
75,0.99316406,1.83336675,1.6963,2.7587889999999997,20.577986
90,1.1542969,1.73284125,1.6686,2.7626953,20.71782
105,2.1445312,2.2194675,2.3915,3.6738280999999997,22.010027
120,1.2353516,0.84568175,0.9037,0.578125,22.250305
135,5.0751953,4.38076575,4.2459,6.863281199999999,25.010502
150,6.5527344,6.019231,5.3233,8.5273437,27.421553
165,8.136719,7.85372725,6.2671,10.2363281,30.316568
180,9.05957,8.8320625,6.5184,11.5439453,32.67391
