torsion,resff,qm,mace,esp,openff
-165,0.3671875,0.45751025,0.5522,0.1660156000000006,-70.708595
-150,1.5722656,1.409114,1.5765,1.6806641000000004,-68.41731
-135,3.4033203,3.00440725,3.1034,3.6083985000000007,-64.90622
-120,5.448242,5.1132465,4.9639,5.8105469,-61.01425
-105,7.2402344,7.377141,6.8796,8.4208985,-56.88799
-90,9.650391,7.319662,5.7632,13.585937600000001,-51.91145
-75,5.963867,5.023263,3.603,9.391601600000001,-56.064842
-60,3.696289,3.4784835,2.2141,5.764648500000001,-59.193974
-45,2.8076172,2.7350215,1.5493,3.3183594000000003,-61.633263
-30,2.8789062,2.7581135,1.6503,2.5087891000000004,-62.833607
-15,3.5683594,3.271785,2.1593,2.9873047,-62.777767
0,5.1572266,4.28676625,3.1859,4.874023475,-59.479645
15,3.5634766,3.27247525,2.16,2.9873047,-62.780544
30,2.883789,2.75805075,1.6504,2.5068360000000003,-62.8347
45,2.788086,2.724103,1.5382,3.2919922,-61.64792
60,3.6611328,3.4237655,2.1037,5.6513672,-59.367126
75,5.9726562,5.02771825,3.6048,9.4111328,-56.05714
90,9.65625,7.32261125,5.7668,13.587890600000001,-51.91104
105,7.2373047,7.3765135,6.8836,8.416992200000001,-56.874928
120,5.430664,5.10640675,4.9633,5.7666016,-61.011074
135,3.4140625,3.00265025,3.1048,3.6210938000000006,-64.90586
150,1.5898438,1.408612,1.588,1.7363282000000004,-68.38413
165,0.3564453,0.450796,0.5464,0.16894540000000013,-70.71278
180,0,0,0,0,-70.55068
