torsion,resff,qm,mace,esp,openff
-165,0.9267578,0.64864675,0.7624,1.3613281700000002,-17.782612
-150,0.68066406,0.40818875,0.4944,0.86425786,-18.41034
-135,0.2993164,0.13554,0.174,0.27246100000000006,-18.958204
-120,0.000488281,0,0,0,-19.247223
-105,0.10498047,0.07599025,0.0273,0.22460940000000007,-19.118097
-90,0.59521484,0.292415,0.191,0.7607422000000001,-18.500523
-75,1.0375977,0.64111675,0.5655,1.3554688000000001,-19.1151
-60,1.8242188,1.58261775,1.4278,2.18017582,-19.249369
-45,3.0439453,2.97027125,2.6033,3.3564454,-18.918104
-30,3.9194336,3.7646235,3.2277,4.532226700000001,-18.36715
-15,3.6723633,3.51406275,2.9871,4.3120117,-17.766535
0,3.4760742,3.3685455,2.8673,4.0571289,-17.256197
15,3.6640625,3.5131215,2.9845,4.2954102,-17.766537
30,3.915039,3.76368225,3.2269,4.5302735,-18.353148
45,3.0439453,2.97027125,2.6033,3.3564454,-18.918074
60,1.8266602,1.58349625,1.4286,2.1806641,-19.244902
75,1.0375977,0.64111675,0.5655,1.3554688000000001,-19.11531
90,0.59521484,0.292415,0.191,0.7607422000000001,-18.488825
105,0.10498047,0.07599025,0.0273,0.22460940000000007,-19.118223
120,0,0,0,0,-19.249142
135,0.2993164,0.13554,0.174,0.27197270000000007,-18.959444
150,0.6801758,0.40818875,0.4944,0.86425786,-18.417933
165,0.9267578,0.64864675,0.7624,1.3613281700000002,-17.795155
180,0.98095703,0.7280255,0.8518,1.5312500400000002,-17.253992
