torsion,resff,qm,mace,esp,openff
-165,0,0.14915675,0.3878,0.1552734,-153.78624
-150,0.26953125,0.492964,0.7247,0,-154.64473
-135,1.0800781,1.29948975,1.6282,0.6367186999999999,-155.1875
-120,2.546875,2.707035,3.2044,2.0253905999999997,-154.83527
-105,4.526367,4.598069,5.2126,3.8964843,-153.80884
-90,6.569336,6.49908025,7.1048,5.8134765,-152.6038
-75,8.079102,7.790287,8.2731,7.367187400000001,-151.79308
-60,8.563477,8.15969625,8.6065,7.916992199999999,-152.00882
-45,2.3339844,1.886014,2.0057,2.3320312,-153.73187
-30,0.79785156,0.3610635,0.3949,0.8916014999999999,-154.2004
-15,0.21289062,0,0,0.7890623999999997,-154.20236
0,0.15039062,0.15329825,0.2554,1.3359374,-153.81682
15,0.07714844,0.0786885,0.4481,0.5449218,-153.69406
30,0.3701172,0.28770875,0.9688,0.4794921999999997,-153.96098
45,1.4873047,1.29045375,2.201,1.3408202999999999,-153.81514
60,3.5263672,3.2274835,4.3187,3.0507812,-152.78104
75,6.2246094,5.980075,7.0444,5.1972656,-151.1198
90,8.713867,8.85960975,9.545,7.1865232,-149.62767
105,10.107422,10.70621675,10.8425,8.6347656,-148.95457
120,3.4951172,3.5562935,3.6082,3.55957026,-154.31393
135,1.5458984,1.449525,1.3877,1.5498045999999999,-155.0421
150,0.5214844,0.3078515,0.2609,0.5976561999999999,-154.88913
165,0.17675781,0.05314925,0.0728,0.8369139999999999,-154.31859
180,0.17675781,0.1474625,0.3885,1.0595702999999999,-153.72911
