torsion,resff,qm,mace,esp,openff
-165,0.26171875,0.22841,0.2996,0.5839844999999997,48.158737
-150,1.015625,1.046168,1.2644,2.140625,49.714836
-135,2.1796875,2.43827675,2.8459,4.2363281,52.07596
-120,3.7519531,4.26856875,4.8517,6.4238281,55.02913
-105,5.7226562,6.3228155,6.9651,8.2558594,58.356533
-90,7.0390625,8.174819,8.7252,8.9882813,62.47991
-75,7.9414062,9.2118255,9.2922,9.1699219,64.89773
-60,8.890625,9.59453775,9.1227,9.6601563,64.135796
-45,9.878906,10.0054875,9.2311,10.296875,63.06934
-30,11.037109,10.70370675,9.4295,10.9082031,62.398346
-15,11.25,10.92270425,8.9367,9.9277344,61.749256
0,10.994141,10.51784125,8.4973,9.4589844,61.32552
15,10.376953,9.912994,8.3233,9.5722656,61.143528
30,9.744141,9.43402325,8.338,9.6757813,61.4885
45,9.3125,9.23761575,8.5502,9.6445313,62.510456
60,8.873047,9.23447825,8.887,9.4257813,63.956234
75,8.058594,9.08299975,9.3278,9.0644531,64.88616
90,6.8691406,8.157751,8.7219,8.9863281,62.34866
105,5.609375,6.3765295,6.9482,8.2089844,58.5031
120,3.7929688,4.414839,4.9091,6.43359375,55.215443
135,2.2832031,2.64008075,2.9554,4.28125,52.21083
150,1.1425781,1.24991725,1.3807,2.2167969000000003,49.818214
165,0.34375,0.356671,0.3731,0.6289062999999997,48.204357
180,0,0,0,0,47.624943
