torsion,resff,qm,mace,esp,openff
-165,2.0927734,2.22078525,2.6861,2.43554694,3.4161308
-150,2.477539,2.7377825,3.1766,3.1093750599999996,4.040214
-135,3.0810547,3.18751175,3.6312,3.678711,4.7069073
-120,2.881836,2.7882335,2.8675,3.51074225,4.4005766
-105,1.6308594,1.39411675,1.5547,2.0117187999999997,3.7357767
-90,0.4638672,0.218621,0.3541,0.640625,3.0968955
-75,0,0,0,0,3.0567868
-60,0.50683594,0.8334455,0.5746,0.4404298,3.3707383
-45,1.9394531,2.50316025,1.9316,2.0166016,4.1543136
-30,3.9628906,4.596061,3.8037,4.2177735,5.469539
-15,5.8554688,6.3546925,5.4658,6.2490235,6.767775
0,6.791992,7.17916475,6.2924,7.3759765999999996,7.402797
15,5.8535156,6.35412775,5.4654,6.2490235,6.767691
30,3.961914,4.5961865,3.8037,4.2177735,5.4695373
45,1.9394531,2.50316025,1.9316,2.01855475,4.1543117
60,0.5078125,0.83338275,0.5746,0.4414062999999997,3.3707378
75,0,6.28E-05,0,0,3.0567863
90,0.45996094,0.218872,0.3542,0.6425782,3.0974553
105,1.6308594,1.3944305,1.5547,2.0117187999999997,3.7357755
120,2.8808594,2.7884845,2.8678,3.5117187999999997,4.4002967
135,3.078125,3.18738625,3.6312,3.678711,4.7069106
150,2.4804688,2.73734325,3.1759,3.1093750599999996,4.040288
165,2.0927734,2.2207225,2.6861,2.43554694,3.4161308
180,2.022461,2.00329375,2.4894,2.14648444,3.183541
